"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kobe Bufkin","Lal","*","G","22.5","11","8.2","22","9.4","8","1","18","0.444","20","0.15","0.329","0.397","3","0.8","0.5","0.2","0.3","0.4","3.8","3.5","4.3","5.2","85","114.3"
"","Emanuel Miller","Chi","*","F","25.7","5","6.6","17.7","0","2","0.5","7","0.571","6","0.333","0.538","0.54","3","0.6","0.8","0.4","0","0","3.6","3.8","4.4","6.8","123.9","115.4"
"","Chris Livingston","Cle","*","F","22.4","3","5.8","17.9","0","1","1","4","1","3","0","0.571","0.605","3","1","0.3","0.3","0","0","4","3.3","4.3","6.7","128.9","90.7"
"","Antonio Reeves","Cha","*","G","23.3","9","7.3","13.4","4.8","0","0","7","0.429","13","0.538","0.675","0.675","3","0.9","0.2","0.1","0","0.1","3.9","3.2","4.1","4.5","135.2","115.7"
"","Monte Morris","Ind","*","G","30.7","6","10.8","15.5","9","4","0.5","12","0.417","8","0.25","0.4","0.414","3","1.2","1.5","0.2","0.2","0.3","4.2","4.5","5.7","6.5","96.5","119.4"
"","Riley Minix","San","","F","25.5","3","2.8","30.5","0","0","0","3","1","3","0.333","0.75","0.75","3","0.7","0.3","0.3","0","0","3.7","3.3","4","12.2","0","0"
"","Jamison Battle","Tor","*","F","24.8","47","8.5","13.5","12.3","9","0.667","44","0.636","63","0.413","0.626","0.631","3","1.5","0.4","0.1","0","0.3","4.5","3.3","4.8","5.7","117.6","109.6"
"","Tyus Jones","Orl","","G","29.8","48","15.7","9.8","8.1","6","1","56","0.429","102","0.294","0.437","0.448","3","1.1","2.4","0.7","0.1","0.3","4.1","5.4","6.5","5.1","113.6","115.2"
"","John Konchar","Uta","*","G","30","13","24","7.7","16.3","7","0.571","17","0.647","29","0.138","0.37","0.387","2.9","4.2","2","2.2","0.8","0.7","7.1","4.9","9.1","4.8","103.4","115"
"","Yuki Kawamura","Chi","*","G","24.9","7","12.6","12.2","21.3","6","1","4","0.25","14","0.286","0.389","0.484","2.9","2.6","3.7","0.9","0","0.7","5.4","6.6","9.1","9.6","124.9","111.3"
"","Kevon Looney","Nor","*","F","30.1","18","13.9","10.6","13.3","8","0.625","43","0.512","9","0.111","0.452","0.468","2.9","5.3","1.4","0.3","0.5","0.4","8.2","4.3","9.6","8","126.4","107"
